team,name,Min,Red,2ndYellow,Yellow,Fls,display,short
Cavalry FC,Mauro Eustaquio,533,1,0,2,16,Mauro Eustaquio,cav
Pacific FC,Alexander Gonzalez Moreno,1746,1,0,4,34,Alexander González,pac
FC Edmonton,Jeannot Esua,1798,1,0,2,20,Jeannot Esua,fce
Forge FC,Tristan Daniel Borges,1973,1,0,2,38,Tristan Borges,for
Cavalry FC,José Escalante,1613,1,0,3,24,José Escalante,cav
Cavalry FC,Dean Northover,609,1,0,2,13,Dean Northover,cav
Cavalry FC,Joel Waterman,1719,1,0,4,20,Joel Waterman,cav
Valour FC,Adam Mitter,1513,1,0,4,23,Adam Mitter,val
HFX Wanderers FC,Jan-Michael Williams,1028,1,0,1,1,Jan-Michael Williams,hfx
Valour FC,Jordan Peter Murrell,1784,1,0,4,30,Jordan Murrell,val
FC Edmonton,Philippe Lincourt-Joseph,346,1,0,0,1,Philippe Lincourt-Joseph,fce
York9 FC,Steven Furlano,517,0,0,4,15,Steven Furlano,y9
Pacific FC,José Hernández,652,0,0,2,24,Jose Hernandez,pac
FC Edmonton,Marcus Velado-Tsegaye,486,0,0,1,12,Marcus Velado-Tsegaye,fce
York9 FC,Emilio Estevez Tsai,627,0,0,2,12,Emilio Estevez,y9
Pacific FC,Ahmed Alghamdi,330,0,0,0,4,Ahmed Alghamdi,pac
HFX Wanderers FC,Duran Lee,678,0,0,1,18,Duran Lee,hfx
York9 FC,Emmanuel Zambazis,277,0,0,1,3,Emmanuel Zambazis,y9
Valour FC,Nicolás Galvis,488,0,0,1,11,Nicolás Galvis,val
Valour FC,Yohan Le Bourhis,720,0,0,0,9,Yohan Le Bourhis,val
Forge FC,Quillan Roberts,720,0,0,0,0,Quillan Roberts,for
Valour FC,Tyler Attardo,999,0,0,0,7,Tyler Attardo,val
HFX Wanderers FC,Zachary Sukunda,841,0,0,0,9,Zachary Sukunda,hfx
Valour FC,Ali Musse,740,0,0,0,13,Ali Musse,val
Valour FC,Michele Paolucci,1139,0,0,2,15,Michele Paolucci,val
Forge FC,Kadell Thomas,541,0,0,4,12,Kadell Thomas,for
Forge FC,Daniel Krutzen,2470,0,0,0,23,Daniel Krutzen,for
Pacific FC,David Norman Jr.,596,0,0,2,8,David Norman Jr.,pac
HFX Wanderers FC,Luis Alberto Perea,1014,0,0,2,11,Luis Alberto Perea,hfx
Cavalry FC,Oliver Minatel,1467,0,0,4,31,Oliver Minatel,cav
HFX Wanderers FC,Christian Oxner,1489,0,0,2,2,Christian Oxner,hfx
Forge FC,David Edward Edgar,834,0,0,1,5,David Edgar,for
Forge FC,David Choinière,998,0,0,1,15,David Choinière,for
FC Edmonton,Kareem Moses,969,0,0,2,12,Kareem Moses,fce
York9 FC,Simon Karlsson Adjei,1422,0,0,0,18,Simon Karlsson Adjei,y9
Pacific FC,Nolan Wirth,1080,0,0,0,0,Nolan Wirth,pac
FC Edmonton,Yong-Chan Son,952,0,0,1,16,Yong-Chan Son,fce
Cavalry FC,Jordan Brown,1397,0,0,2,34,Jordan Brown,cav
Forge FC,Emery Welshman,931,0,0,1,14,Emery Welshman,for
Forge FC,Marcel Dominik Zajac,1073,0,0,3,15,Marcel Zajac,for
Valour FC,Mathias Janssens,1080,0,0,2,0,Mathias Janssens,val
Pacific FC,Ryan McCurdy,744,0,1,3,6,Ryan McCurdy,pac
York9 FC,Justin Springer,945,0,0,2,3,Justin Springer,y9
FC Edmonton,Easton Ongaro,1167,0,0,1,11,Easton Ongaro,fce
Forge FC,Anthony Joseph Novak,1112,0,0,4,11,Anthony Novak,for
Pacific FC,Marcus Haber,703,0,0,0,14,Marcus Haber,pac
FC Edmonton,Dylon Powley,540,0,0,0,0,Dylon Powley,fce
Cavalry FC,Carlos Patiño,320,0,0,0,12,Carlos Patiño,cav
Forge FC,Montther Mohsen,363,0,0,2,9,Monti Mohsen,for
York9 FC,Stefan Lamanna,77,0,0,0,1,Stefan Lamanna,y9
Forge FC,Jace Kotsopoulos,138,0,0,0,2,Jace Kotsopoulos,for
York9 FC,Colm Vance,90,0,0,0,0,Colm Vance,y9
Cavalry FC,Gabriel Bitar,90,0,0,0,1,Gabriel Bitar,cav
HFX Wanderers FC,Vincent Lamy,88,0,0,0,0,Vincent Lamy,hfx
Pacific FC,Marcel de Jong,50,0,0,0,0,Marcel de Jong,pac
York9 FC,Matthew Silva,90,0,0,0,0,Matt Silva,y9
Forge FC,Oluwaseun Oyegunle,38,0,0,0,1,Oluwaseun Oyegunle,for
Cavalry FC,Aribim Pepple,61,0,0,0,4,Aribim Pepple,cav
Cavalry FC,Oluwatofarati Fakunle,9,0,0,0,0,Oluwatofarati Fakunle,cav
Forge FC,Justin Stoddart,14,0,0,0,0,Justin Stoddart,for
HFX Wanderers FC,Abd-El-Aziz Yousef,0,0,0,0,0,Abd-El-Aziz Yousef,hfx
Pacific FC,Tyrone Venhola,0,0,0,0,0,Tyrone Venhola,pac
Forge FC,Baj Maan,0,0,0,0,0,Baj Maan,for
FC Edmonton,Chris Ezoua,0,0,0,0,0,Chris Ezoua,fce
Valour FC,Svyatik Artemenko,0,0,0,0,0,Svyatik Artemenko,val
Forge FC,Luke Iacobellis,0,0,0,0,0,Luke Iacobellis,for
Cavalry FC,Jordan Santiago,0,0,0,0,0,Jordan Santiago,cav
FC Edmonton,Prince Amanda,137,0,0,0,2,Prince Amanda,fce
York9 FC,Michael Cox,184,0,0,0,4,Michael Cox,y9
Forge FC,Klaidi Cela,326,0,0,0,6,Klaidi Cela,for
Cavalry FC,Victor Loturi,137,0,0,1,4,Victor Loturi,cav
Cavalry FC,Sergio Camargo,1260,0,0,1,10,Sergio Camargo,cav
FC Edmonton,Ajeej Sarkaria,566,0,0,1,8,Ajeej Sarkaria,fce
Valour FC,Federico Peña,315,0,0,1,4,Federico Peña,val
FC Edmonton,Tony Tchani,192,0,0,0,8,Tony Tchani,fce
FC Edmonton,Randy Edwini-Bonsu,363,0,0,1,9,Randy Edwini-Bonsu,fce
Cavalry FC,Nikolaos Giantsopoulos,450,0,0,0,0,Niko Giantsopoulos,cav
Valour FC,Glenn Muenkat,365,0,0,0,7,Glenn Muenkat,val
HFX Wanderers FC,Chakib Hocine,352,0,0,1,7,Chakib Hocine,hfx
HFX Wanderers FC,Scott Firth,287,0,0,0,1,Scott Firth,hfx
Pacific FC,Issey Nakajima-Farran,252,0,0,1,9,Issey Nakajima-Farran,pac
Valour FC,Josip Golubar,255,0,0,0,8,Josip Golubar,val
York9 FC,Austin Ricci,199,0,0,0,12,Austin Ricci,y9
HFX Wanderers FC,Kouamé Ouattara,229,0,0,1,11,Kouamé Ouattara,hfx
York9 FC,Cyrus Rollocks,292,0,0,0,5,Cyrus Rollocks,y9
Valour FC,Stephen Hoyle,237,0,0,0,4,Stephen Hoyle,val
Valour FC,Calum Ferguson,344,0,0,0,6,Calum Ferguson,val
FC Edmonton,David Doe,170,0,0,0,6,David Doe,fce
HFX Wanderers FC,Kodai Iida,1180,0,0,1,13,Kodai Iida,hfx
Valour FC,Tyson Farago,1440,0,0,0,0,Tyson Farago,val
York9 FC,Roger Thompson,802,0,0,1,9,Roger Thompson,y9
Pacific FC,Noah Verhoeven,1850,0,0,1,17,Noah Verhoeven,pac
HFX Wanderers FC,Mohamed Kourouma,1988,0,0,0,22,Mohamed Kourouma,hfx
HFX Wanderers FC,Andre Rampersad,2003,0,0,4,31,Andre Rampersad,hfx
Pacific FC,Lukas MacNaughton,1704,0,1,3,24,Lukas MacNaughton,pac
Forge FC,Bertrand Owundi,1756,0,0,4,17,Bertrand Owundi,for
Valour FC,Diego Gutiérrez,1604,0,0,4,14,Diego Gutiérrez,val
FC Edmonton,Ajay Khabra,1727,0,0,0,27,Ajay Khabra,fce
Cavalry FC,Mason Trafford,1891,0,0,2,12,Mason Trafford,cav
Cavalry FC,Elijah Adekugbe,1575,0,0,6,34,Elijah Adekugbe,cav
HFX Wanderers FC,Matthew Arnone,2094,0,0,3,18,Matthew Arnone,hfx
Cavalry FC,Nico Pasquotti,1943,0,0,6,45,Nico Pasquotti,cav
FC Edmonton,Amer Didic,1650,0,0,3,21,Amer Didic,fce
York9 FC,Nathan Ingham,2340,0,0,0,0,Nathan Ingham,y9
Pacific FC,Alessandro Hojabrpour,1731,0,0,4,28,Alessandro Hojabrpour,pac
Valour FC,Louis Béland-Goyette,1772,0,0,5,35,Louis Béland-Goyette,val
Pacific FC,Matthew Baldisimo,1809,0,1,6,34,Matthew Baldisimo,pac
York9 FC,Kyle Porter,1916,0,0,1,21,Kyle Porter,y9
York9 FC,Daniel Gogarty,1551,0,0,2,12,Daniel Gogarty,y9
York9 FC,Wataru Murofushi,1718,0,0,3,30,Wataru Murofushi,y9
York9 FC,Joseph Di Chiara,1755,0,0,6,37,Joseph Di Chiara,y9
Forge FC,Jonathan Grant,882,0,0,2,15,Jonathan Grant,for
FC Edmonton,Ramon Soria,2010,0,0,3,18,Ramón Soria,fce
York9 FC,Manuel Aparicio,2159,0,1,6,56,Manny Aparicio,y9
Forge FC,Kyle Edward Bekker,2443,0,0,2,29,Kyle Bekker,for
York9 FC,Luca Gasparotto,2520,0,0,3,22,Luca Gasparotto,y9
York9 FC,Morey Doner,2250,0,0,3,22,Morey Doner,y9
York9 FC,Diyaeddine Abzi,1814,0,0,3,29,Diyaeddine Abzi,y9
FC Edmonton,Mélé Temguia,2429,0,0,3,40,Mélé Temguia,fce
Forge FC,Kwame Awuah,1974,0,0,4,30,Kwame Awuah,for
Forge FC,Giuliano Frano,1964,0,0,6,35,Giuliano Frano,for
Pacific FC,Blake Smith,2004,0,0,3,23,Blake Smith,pac
York9 FC,Ryan Telfer,2216,0,0,2,25,Ryan Telfer,y9
Cavalry FC,Julian Büscher,1768,0,0,5,51,Julian Büscher,cav
HFX Wanderers FC,André Bona,2053,0,0,6,31,André Bona,hfx
Cavalry FC,Nathan Mavila,2021,0,1,3,38,Nathan Mavila,cav
FC Edmonton,Allan Zebie,1970,0,0,1,14,Allan Zebie,fce
Valour FC,Marco Bustos,2249,0,0,3,24,Marco Bustos,val
Pacific FC,Kadin Chung,2032,0,0,2,16,Kadin Chung,pac
Forge FC,Dominic Samuel,2133,0,1,6,43,Dominic Samuel,for
Valour FC,Skylar Rutherford Thomas,1894,0,0,5,24,Skylar Thomas,val
Valour FC,Raphael Ohin,1461,0,0,9,41,Raphael Ohin,val
FC Edmonton,James Marcelin,1698,0,0,2,24,James Marcelin,fce
Forge FC,Alexander Börje Achinioti-Jönsson,1760,0,0,0,29,Alexander Achinioti-Jönsson,for
Valour FC,Dylan Carreiro,1441,0,0,3,19,Dylan Carreiro,val
FC Edmonton,Tomi Ameobi,1859,0,0,4,49,Tomi Ameobi,fce
Forge FC,Christopher Lenroy Nanco,1497,0,0,1,26,Chris Nanco,for
Cavalry FC,Nikolas Ledgerwood,1317,0,0,4,29,Nik Ledgerwood,cav
HFX Wanderers FC,Akeem Garcia,2082,0,0,2,35,Akeem Garcia,hfx
HFX Wanderers FC,Chrisnovic N'Sa,1217,0,0,5,17,Chris N'sa,hfx
Valour FC,Dylan Sacramento,1136,0,0,0,22,Dylan Sacramento,val
HFX Wanderers FC,Tomasz Skublak,1389,0,0,4,32,Tomasz Skublak,hfx
Valour FC,Michael Petrasso,1301,0,0,0,14,Michael Petrasso,val
Valour FC,Raphaël Garcia,943,0,0,2,16,Raphaël Garcia,val
Pacific FC,Mark Village,1440,0,0,1,1,Mark Village,pac
FC Edmonton,Edem Mortotsi,881,0,0,1,15,Edem Mortotsi,fce
Pacific FC,Émile Legault,915,0,0,3,14,Emile Legault,pac
HFX Wanderers FC,Juan Diego Gutiérrez de las Casas,1240,0,0,3,24,Juan Diego Gutiérrez,hfx
Valour FC,José Antonio Galán Pedrosa,901,0,0,5,31,José Galán,val
Cavalry FC,Dominick Zator,2425,0,0,0,17,Dominick Zator,cav
HFX Wanderers FC,Elliot Simmons,969,0,0,2,14,Elliot Simmons,hfx
Cavalry FC,Dominique Malonga,1961,0,0,1,11,Dominique Malonga,cav
Forge FC,Triston Henry,1979,0,0,3,1,Triston Henry,for
HFX Wanderers FC,Alex De Carolis,1246,0,0,3,14,Alex De Carolis,hfx
Pacific FC,Terran Campbell,2334,0,0,0,29,Terran Campbell,pac
Valour FC,Martín Arguiñarena,1534,0,0,1,14,Martín Arguiñarena,val
Forge FC,Elimane Oumar Cissé,1730,0,0,0,28,Elimane Cissé,for
York9 FC,Rodrigo Pablo Gattas Bertoni,1958,0,0,2,24,Rodrigo Gattas,y9
FC Edmonton,Bruno Zebie,1766,0,0,2,17,Bruno Zebie,fce
Pacific FC,Victor Blasco,1586,0,0,4,50,Victor Blasco,pac
HFX Wanderers FC,Ndzemdzela Langwa,1281,0,0,3,22,Zoom Langwa,hfx
FC Edmonton,Oumar Diouck,1976,0,0,6,62,Oumar Diouck,fce
Cavalry FC,Jonathan Wheeldon,1497,0,0,6,12,Jay Wheeldon,cav
HFX Wanderers FC,Elton John,1435,0,0,4,31,Elton John,hfx
HFX Wanderers FC,Peter Schaale,1530,0,0,2,20,Peter Schaale,hfx
Cavalry FC,Marco Carducci,2250,0,0,1,1,Marco Carducci,cav
FC Edmonton,Connor James,1979,0,0,0,0,Connor James,fce
Cavalry FC,Malyk Hamilton,1275,0,0,1,13,Malyk Hamilton,cav
Pacific FC,Zachary Verhoven,1285,0,0,1,26,Zach Verhoven,pac
Pacific FC,Ben Fisk,1663,0,0,1,22,Ben Fisk,pac
Pacific FC,Hendrik Starostzik,1161,0,0,3,18,Hendrik Starostzik,pac
Pacific FC,Sachdev Grewal,0,0,0,0,0,Sachdev Grewal,pac
