team,name,position,number,nationality,dob,image,flag,link,overall,display
HFX Wanderers FC,Akeem Garcia,f,11,Trinidad and Tobago,1996-11-09,Akeem-Garcia.1.jpg,TrinidadandTobago.png,https://en.wikipedia.org/wiki/Akeem_Garcia,0.38,Akeem Garcia
HFX Wanderers FC,Alessandro Riggi,f,10,Canada,1993-11-30,Alessandro-Riggi.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Alessandro_Riggi,0.0,Alessandro Riggi
HFX Wanderers FC,Alex De Carolis,d,24,Canada,1992-09-24,Alex-De-Carolis.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Alex_De_Carolis,0.4,Alex De Carolis
HFX Wanderers FC,Alex Marshall,m,7,Jamaica,1998-02-24,empty.jpg,Jamaica.png,https://en.wikipedia.org/wiki/Alex_Marshall,0.0,Alex Marshall
HFX Wanderers FC,Andre Rampersad,m,18,Trinidad and Tobago,1995-02-02,Andre-Rampersad.1.jpg,TrinidadandTobago.png,https://en.wikipedia.org/wiki/Andre_Rampersad,0.48,Andre Rampersad
HFX Wanderers FC,Chrisnovic N'Sa,d,6,Canada,1999-01-28,Chrisnovic-N_sa.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Chrisnovic_N'sa,0.41,Chrisnovic N'sa
HFX Wanderers FC,Christian Oxner,g,50,Canada,1996-07-29,Christian-Oxner.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Christian_Oxner,0.54,Christian Oxner
HFX Wanderers FC,Daniel Kinumbe,d,13,Canada,1999-03-15,Daniel-Kinumbe.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Daniel_Kinumbe,0.0,Daniel Kinumbe
HFX Wanderers FC,Eriks Santos,d,31,Brazil,1996-02-23,empty.jpg,Brazil.png,https://en.wikipedia.org/wiki/Eriks_Santos,0.0,Eriks Santos
HFX Wanderers FC,Ibrahima Sanoh,f,9,Guinea,1994-04-11,Ibrahima-Sanoh.1.jpg,Guinea.png,https://en.wikipedia.org/wiki/Ibrahima_Sanoh,0.0,Ibrahima Sanoh
HFX Wanderers FC,Jason Beaulieu,g,1,Canada,1994-02-12,Jason-Beaulieu.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Jason_Beaulieu,0.0,Jason Beaulieu
HFX Wanderers FC,Jems Geffrard,d,3,Haiti,1994-08-26,Jems-Geffrard.1.jpg,Haiti.png,https://en.wikipedia.org/wiki/Jems_Geffrard,0.0,Jems Geffrard
HFX Wanderers FC,João Morelli,f,22,Brazil,1996-03-11,João-Morelli.1.jpg,Brazil.png,https://en.wikipedia.org/wiki/João_Morelli,0.0,João Morelli
HFX Wanderers FC,Louis Béland-Goyette,m,5,Canada,1995-09-15,Louis-Béland-Goyette.1.jpg,Canada.png,https://en.wikipedia.org/wiki/Louis_Béland-Goyette,0.55,Louis Béland-Goyette
HFX Wanderers FC,Mateo Restrepo,d,14,Canada,1997-04-29,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Mateo_Restrepo,0.0,Mateo Restrepo
HFX Wanderers FC,Omar Kreim,m,8,Morocco,1995-02-10,Omar-Kreim.1.jpg,Morocco.png,https://en.wikipedia.org/wiki/Omar_Kreim,0.0,Omar Kreim
HFX Wanderers FC,Peter Schaale,d,2,Germany,1996-06-14,Peter-Schaale.1.jpg,Germany.png,https://en.wikipedia.org/wiki/Peter_Schaale,0.63,Peter Schaale
HFX Wanderers FC,Scott Firth,m,15,Canada,2001-03-02,Scott-Firth.jpg,Canada.png,https://en.wikipedia.org/wiki/Scott_Firth,0.11,Scott Firth
HFX Wanderers FC,Cory Bent,m,15,England,,Cory-Bent.1.jpg,England.png,https://en.wikipedia.org/wiki/Scott_Firth,0.0,Cory Bent
Pacific FC,Abdoulaye Samake,d,0,Mali,,Abdou-Samake.1.png,Mali.png,https://en.wikipedia.org/wiki/Abdou_Samake,0.0,Abdou Samake
Pacific FC,Alejandro Díaz,f,0,Mexico,1996-01-27,Alejandro-Diaz.1.png,Mexico.png,https://en.wikipedia.org/wiki/Alejandro_Díaz,0.0,Alejandro Diaz
Pacific FC,Alessandro Hojabrpour,m,21,Canada,2000-01-10,Alessandro-Hojabrpour.1.png,Canada.png,https://en.wikipedia.org/wiki/Alessandro_Hojabrpour,0.28,Alessandro Hojabrpour
Pacific FC,Callum Irving,g,0,Canada,1993-03-16,Callum-Irving.1.png,Canada.png,https://en.wikipedia.org/wiki/Callum_Irving,0.0,Callum Irving
Pacific FC,Jamar Dixon,m,0,Canada,1989-06-05,Jamar-Dixon.1.png,Canada.png,https://en.wikipedia.org/wiki/Jamar_Dixon,0.0,Jamar Dixon
Pacific FC,Kadin Chung,d,7,Canada,1998-09-05,Kadin-Chung.1.png,Canada.png,https://en.wikipedia.org/wiki/Kadin_Chung,0.69,Kadin Chung
Pacific FC,Lukas MacNaughton,d,6,United States,1995-03-08,Lukas-MacNaughton.1.png,Canada.png,https://en.wikipedia.org/wiki/Lukas_MacNaughton,0.51,Lukas MacNaughton
Pacific FC,Marcel de Jong,d,17,Canada,1986-10-15,Marcel-De-Jong.1.png,Canada.png,https://en.wikipedia.org/wiki/Marcel_de_Jong,0.03,Marcel de Jong
Pacific FC,Marco Bustos,m,0,Canada,1996-04-22,Marco-Bustos.1.png,Canada.png,https://en.wikipedia.org/wiki/Marco_Bustos,0.61,Marco Bustos
Pacific FC,Matthew Baldisimo,m,8,Canada,1998-01-20,Matthew-Baldisimo.1.png,Canada.png,https://en.wikipedia.org/wiki/Matthew_Baldisimo,0.42,Matthew Baldisimo
Pacific FC,Noah Verhoeven,m,19,Canada,1999-06-15,Noah-Verhoeven.1.png,Canada.png,https://en.wikipedia.org/wiki/Noah_Verhoeven,0.5,Noah Verhoeven
Pacific FC,Nolan Wirth,g,1,Canada,1995-01-24,Nolan-Wirth.1.png,Canada.png,https://en.wikipedia.org/wiki/Nolan_Wirth,0.46,Nolan Wirth
Pacific FC,Terran Campbell,f,14,Canada,1998-10-10,Terran-Campbell.1.png,Canada.png,https://en.wikipedia.org/wiki/Terran_Campbell,0.85,Terran Campbell
Pacific FC,Thomas Meilleur-Giguère,d,0,Canada,1997-11-13,Thomas-Meilleur-Giguère.1.png,Canada.png,https://en.wikipedia.org/wiki/Thomas_Meilleur-Giguère,0.0,Thomas Meilleur-Giguère
Pacific FC,Victor Blasco,m,23,Spain,1994-07-01,Victor-Blasco.1.png,Spain.png,https://en.wikipedia.org/wiki/Victor_Blasco,0.52,Victor Blasco
Pacific FC,Zachary Verhoven,m,16,Canada,1998-08-17,Zach-Verhoven.1.png,Canada.png,https://en.wikipedia.org/wiki/Zachary_Verhoven,0.44,Zach Verhoven
Pacific FC,Emil Gazdov,g,0,Canada,0000-00-00,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Pacific_FC,0.0,Emil Gazdov
Pacific FC,Jordan Haynes,d,0,Canada,1996-01-17,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Jordan_Haynes,0.0,Jordan Haynes
Valour FC,Amir Soto,d,0,Panama,0000-00-00,empty.jpg,Panama.png,https://en.wikipedia.org/wiki/Valour_FC,0.0,Amir Soto
Valour FC,Andrew Jean-Baptiste,d,0,Haiti,1992-06-16,Andrew-Jean-Baptiste.1.png,Haiti.png,https://en.wikipedia.org/wiki/Andrew_Jean-Baptiste,0.0,Andrew Jean-Baptiste
Valour FC,Arnold Bouka Moutou,d,0,Congo,1988-11-28,empty.jpg,Congo.png,https://en.wikipedia.org/wiki/Arnold_Bouka_Moutou,0.0,Arnold Bouka Moutou
Valour FC,Brett Levis,m,0,Canada,1993-03-29,Brett-Levis.1.png,Canada.png,https://en.wikipedia.org/wiki/Brett_Levis,0.0,Brett Levis
Valour FC,Daryl Fordyce,f,0,Northern Ireland,1987-01-02,empty.jpg,Ireland.png,https://en.wikipedia.org/wiki/Daryl_Fordyce,0.0,Daryl Fordyce
Valour FC,Diego Gutiérrez,m,8,Canada,1997-02-18,Diego-Gutiérrez.1.png,Canada.png,https://en.wikipedia.org/wiki/Diego_Gutiérrez,0.41,Diego Gutiérrez
Valour FC,Dylan Carreiro,m,10,Canada,1995-01-20,Dylan-Carreiro.1.png,Canada.png,https://en.wikipedia.org/wiki/Dylan_Carreiro,0.34,Dylan Carreiro
Valour FC,Federico Peña,f,77,Trinidad and Tobago,1999-03-30,empty.jpg,TrinidadandTobago.png,https://en.wikipedia.org/wiki/Federico_Peña,0.05,Federico Peña
Valour FC,Fraser Aird,m,0,Canada,1995-02-02,Fraser-Aird.1.png,Canada.png,https://en.wikipedia.org/wiki/Fraser_Aird,0.0,Fraser Aird
Valour FC,James Pantemis,g,0,Canada,1997-02-21,James-Pantemis.1.png,Canada.png,https://en.wikipedia.org/wiki/James_Pantemis,0.0,James Pantemis
Valour FC,José Galán,m,21,Spain,1986-02-02,José-Galán.1.png,Spain.png,https://en.wikipedia.org/wiki/José_Antonio_Galán_Pedrosa,0.26,José Galán
Valour FC,Mastanabal Kacher,f,0,Algeria,1995-11-08,empty.jpg,Algeria.png,https://en.wikipedia.org/wiki/Masta_Kacher,0.0,Masta Kacher
Valour FC,Moses Dyer,m,0,New Zealand,1997-03-21,Moses-Dyer.1.png,NewZealand.png,https://en.wikipedia.org/wiki/Moses_Dyer,0.0,Moses Dyer
Valour FC,Nicolás Galvis,m,14,Colombia,1997-04-09,empty.jpg,Colombia.png,https://en.wikipedia.org/wiki/Nicolás_Galvis,0.17,Nicolás Galvis
Valour FC,Raphael Ohin,m,27,Ghana,1995-05-25,empty.jpg,Ghana.png,https://en.wikipedia.org/wiki/Raphael_Ohin,0.36,Raphael Ohin
Valour FC,Raphaël Garcia,d,2,Canada,1999-05-06,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Raphaël_Garcia,0.46,Raphaël Garcia
Valour FC,Solomon Kojo Antwi,m,0,Ghana,2000-09-25,Soloman-Antwi.1.png,Ghana.png,https://en.wikipedia.org/wiki/Valour_FC,0.0,Solomon Kojo Antwi
Valour FC,Stefan Cebara,m,0,Canada,1991-04-12,Stefan-Cebara.1.png,Canada.png,https://en.wikipedia.org/wiki/Stefan_Cebara,0.0,Stefan Cebara
Valour FC,Yohan Le Bourhis,d,25,Canada,2000-03-09,Yohan-Le-Bourhis.1.png,Canada.png,https://en.wikipedia.org/wiki/Yohan_Le_Bourhis,0.21,Yohan Le Bourhis
Valour FC,Austin Ricci,f,7,Canada,1996-04-08,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Austin_Ricci,0.09,Austin Ricci
York9 FC,Isaiah Johnston,m,0,Canada,2001-08-14,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Adrián_Ugarriza,0.0,Isaiah Johnston
York9 FC,Brian Isaías López,m,0,Argentina,,empty.jpg,Argentina.png,https://en.wikipedia.org/wiki/Brian_López,0.0,Brian López
York9 FC,Chris Mannella,m,0,Canada,1994-06-07,Chris_Mannella_1.jpg,Canada.png,https://en.wikipedia.org/wiki/Chris_Mannella,0.0,Chris Mannella
York9 FC,Ezequiel Carrasco,g,0,Canada,2002-09-11,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/York9_FC,0.0,Ezequiel Carrasco
York9 FC,Diyaeddine Abzi,d,20,Canada,1998-11-23,Abzi-Headshot.jpg,Canada.png,https://en.wikipedia.org/wiki/Diyaeddine_Abzi,0.72,Diyaeddine Abzi
York9 FC,Fugo Segawa,d,0,Japan,1997-08-11,Segawa-Headshot.jpg,Japan.png,https://en.wikipedia.org/wiki/Fugo_Segawa,0.0,Fugo Segawa
York9 FC,Gabriel Vasconcelos,f,0,Brazil,1996-03-15,Gabriel-Vasconcelos.jpg,Brazil.png,https://en.wikipedia.org/wiki/Gabriel_Vasconcelos,0.0,Gabriel Vasconcelos
York9 FC,Jacó,f,0,Brazil,1996-02-27,empty.jpg,Brazil.png,https://en.wikipedia.org/wiki/Jacó,0.0,Jacó
York9 FC,Joseph Di Chiara,m,8,Canada,1992-01-30,Joseph-Di-Chiara.jpg,Canada.png,https://en.wikipedia.org/wiki/Joseph_Di_Chiara,0.47,Joseph Di Chiara
York9 FC,Kyle Porter,m,19,Canada,1990-01-19,Porter-Headshot.jpg,Canada.png,https://en.wikipedia.org/wiki/Kyle_Porter,0.55,Kyle Porter
York9 FC,Luca Gasparotto,d,13,Canada,1995-03-09,Gasparotto-Headshot.jpg,Canada.png,https://en.wikipedia.org/wiki/Luca_Gasparotto,0.83,Luca Gasparotto
York9 FC,Manuel Aparicio,m,10,Canada,1995-09-17,Manuel-Aparicio.jpg,Canada.png,https://en.wikipedia.org/wiki/Manuel_Aparicio,0.64,Manny Aparicio
York9 FC,Matthew Arnone,d,0,Canada,1994-02-28,Arnone-Headshot-copy.jpg,Canada.png,https://en.wikipedia.org/wiki/Matthew_Arnone,0.67,Matthew Arnone
York9 FC,Max Ferrari,m,0,Canada,2000-08-20,Max-Ferrari.jpg,Canada.png,https://en.wikipedia.org/wiki/Max_Ferrari,0.0,Max Ferrari
York9 FC,Michael Petrasso,m,21,Canada,1995-07-09,Michael-Petrasso.jpg,Canada.png,https://en.wikipedia.org/wiki/Michael_Petrasso,0.4,Michael Petrasso
York9 FC,Morey Doner,d,3,Canada,1994-03-25,Doner-Headshot.jpg,Canada.png,https://en.wikipedia.org/wiki/Morey_Doner,0.66,Morey Doner
York9 FC,Nathan Ingham,g,29,Canada,1993-06-27,Ingham-Headshot.jpg,Canada.png,https://en.wikipedia.org/wiki/Nathan_Ingham,0.93,Nathan Ingham
York9 FC,Nicholas Hamilton,f,0,Jamaica,1996-03-16,empty.jpg,Jamaica.png,https://en.wikipedia.org/wiki/Nicholas_Hamilton,0.0,Nicholas Hamilton
York9 FC,Ryan Telfer,m,18,Canada,1994-03-04,Tefler-Headshot.jpg,Canada.png,https://en.wikipedia.org/wiki/Ryan_Telfer,0.7,Ryan Telfer
York9 FC,Roger Thompson,d,6,Canada,1991-12-19,Roger-Thompson.jpg,Canada.png,https://en.wikipedia.org/wiki/Roger_Thompson,0.23,Roger Thompson
York9 FC,Wataru Murofushi,m,23,Japan,1995-06-13,Wataru-Murofushi.jpg,Japan.png,https://en.wikipedia.org/wiki/Wataru_Murofushi,0.45,Wataru Murofushi
York9 FC,Julian Altobelli,m,0,Canada,2002-11-04,Julian-Altobelli.jpg,Canada.png,https://en.wikipedia.org/wiki/York9_FC,0.0,Julian Altobelli
York9 FC,Ijah Halley,d,0,Canada,2001-04-28,Ijah-Halley.jpg,Canada.png,https://en.wikipedia.org/wiki/York9_FC,0.0,Ijah Halley
